Class,Lon,Lat,B10,B11,B1,B2,B3,B4,B5,NO2_column_number_density,B6,B7,sr_aerosol,system:index
water,-115.9727896,33.44374263,3088.872633221836,3031.2516811046835,951.0700027396185,1163.3100999910616,1646.0420200753038,2082.418452722958,2708.2917872649305,8.001145014415958E-5,3212.016674184003,2565.644433404046,94.2453885145482,0_0
water,-115.8848989,33.3336654,3078.0782902170504,3016.2598704645975,1059.859169894275,1270.2285823796697,1749.9078743186187,2188.7711261002414,2793.7992682877602,8.088829971727621E-5,3293.666884482737,2638.529519494834,89.04583946278541,1_0
water,-115.7255972,33.29235053,3073.6526892141455,3006.936830091207,1201.7039960808856,1415.354164502343,1907.5180747767906,2376.8215802124805,2931.7836356962875,8.110608305897645E-5,3426.790257925906,2748.942947070526,83.35470166492826,2_0
water,-115.7805288,33.24182799,3067.4439894663155,3001.036417753514,1196.5001877816246,1405.0985382195545,1884.7369088607782,2331.9685986550285,2908.569844598731,8.145076801713685E-5,3403.3287830448444,2739.033283722614,81.96370290016779,3_0
water,-115.7255972,33.17288653,3058.445377406511,2989.031235953873,1294.8092800897716,1500.4819612826154,1976.9084368266804,2424.149999138914,2986.9586210994157,8.179386386835414E-5,3477.7859943818926,2812.368195556318,76.0656329575778,4_0
water,-118.4502066,33.86441102,3007.6971717103056,2978.068939240533,594.2148198885823,639.3210138802473,712.6769048537794,790.2715671802672,1111.6596932288235,8.792772025754088E-5,1350.336450927278,1013.6807685918136,91.64202409622756,5_0
water,-118.3238638,33.38872144,2952.2268253328725,2932.745472148318,796.9418647256149,801.55003465463,767.2297269973722,735.8614476134625,891.323349356953,7.913509007739976E-5,921.5128757684704,756.3727448400886,76.89226697971247,6_0
water,-117.3570669,33.12689541,3042.5448490173158,3008.579827312205,404.1734347641708,489.57359247937063,649.4706536253739,728.4713796188664,1380.4150607526376,8.34548770065152E-5,1644.1319938462846,1207.5925787360147,123.14115256048184,7_0
water,-117.6325394,33.90127575,3122.2108571657386,3077.711889358323,622.6858668677062,779.6551419680941,1144.2451787756868,1447.1499140868036,2295.071882321474,9.166259907720156E-5,2825.5181162909903,2166.4787334978505,118.27916619945562,8_0
water,-117.6201798,33.90697472,3124.484100160652,3079.7148624407955,627.4213331407412,786.8449775780439,1157.8523822983816,1467.0056205823705,2322.1348464214034,9.176181204406196E-5,2859.6542150208925,2194.675872876281,118.22653543428294,9_0
water,-117.6146866,33.90355538,3124.85675864087,3080.029934293033,625.2158758538196,784.9003078253656,1156.5529152784884,1465.4408728443075,2324.19697543421,9.174914088649043E-5,2861.8100696512047,2195.592563762251,118.6395239658104,10_0
water,-117.1779801,33.85224892,3126.997058758882,3080.196790161719,645.9762436145162,824.4816373477429,1231.345276447907,1541.8311361323824,2376.2170239732045,8.765867587350599E-5,2879.0385369098553,2257.4687201797083,126.13324196642176,11_0
water,-117.441652,33.84768685,3132.7536767397714,3086.385407962742,592.1772777781794,760.5880057153521,1152.1241912539983,1459.5762389145511,2379.347977884576,9.09638796929268E-5,2917.2849452169785,2233.969549491392,127.14230901607559,12_0
water,-117.4334122,33.83742131,3131.5297164458257,3085.2312467663724,585.2121698385656,752.4634664055415,1140.6454230006832,1442.773335247225,2362.0411105698167,9.078617516133439E-5,2894.155653966008,2214.4135613836193,127.96006550155238,13_0
water,-117.6242997,33.90355538,3123.5853413982363,3078.919585915553,624.8217645739747,783.2397586583457,1151.6093281251528,1457.9781423671143,2310.8507057353536,9.171585135757648E-5,2845.3180240641423,2182.621079731646,118.35001490808511,14_0
agriculture,-117.4220335,33.90049919,3137.6173824000707,3090.7974406981857,639.490319851173,816.0359568181906,1227.921344279322,1562.796610089317,2465.483534979767,9.11040383974991E-5,3024.55925193135,2337.440199503793,122.83508385910069,15_0
agriculture,-117.435509,33.90267198,3138.168125293331,3091.351148031883,639.1329839966135,815.5719092210823,1227.7832387249284,1564.1276028097031,2470.90426311258,9.129530878000024E-5,3033.4036374233974,2342.4586766691546,122.57492268129403,16_0
agriculture,-117.4350798,33.90128283,3138.018676151213,3091.21167018942,638.0959582565895,814.3598676604194,1226.090941398903,1561.7141404885776,2468.5818022532053,9.127833266673664E-5,3030.3616664322235,2339.7769519867347,122.68975487866871,17_0
agriculture,-117.4380839,33.9014253,3138.11921932973,3091.314504071911,637.8485399288227,814.060192165509,1225.7881753546928,1561.6287763323278,2469.4385162194626,9.131891995146372E-5,3031.8794962507477,2340.485404983587,122.64893125259383,18_0
agriculture,-117.4373543,33.90028547,3137.9902853255267,3091.192981168802,637.0778356037757,813.1607995503771,1224.5170265121442,1559.769968775811,2467.5250844826096,9.130041358881503E-5,3029.3206342149074,2338.3129195881443,122.74348356312306,19_0
agriculture,-117.432462,33.89764954,3137.598381806508,3090.8153608628004,635.6128106591457,811.4624370080014,1221.9937452191525,1555.7153740991953,2462.3884936302798,9.12174356470763E-5,3022.0727918708494,2332.753661018098,122.99437034051039,20_0
agriculture,-117.4155962,33.90046357,3137.4575668605885,3090.627923353635,640.5242416714881,817.268167075827,1229.380337608115,1564.0937420808218,2464.6085851928324,9.101987760122069E-5,3022.518659524107,2337.0661766104986,122.87434112880548,21_0
agriculture,-117.4143946,33.89910999,3137.2888106179134,3090.4679256849813,639.6343962719079,816.2312081311834,1227.901503848393,1561.8900237173102,2462.233619360823,9.099258821516126E-5,3019.301951822054,2334.405658893477,122.98898386190784,22_0
agriculture,-117.4180853,33.90106911,3137.571728995342,3090.7414117519256,640.5798719766068,817.3250262629037,1229.5485022220412,1564.6002231244868,2465.817735749701,9.105535469632635E-5,3024.4061249802,2338.2442190324327,122.81667812464322,23_0
agriculture,-117.4028933,33.90477349,3137.57694851797,3090.6938103358475,646.0557274993388,823.7857012002047,1237.8903631847777,1574.470839622874,2469.8164397954515,9.088593494396462E-5,3027.3209389457547,2344.4841354200285,122.61907569003552,24_0
agriculture,-117.4019062,33.90377617,3137.4691594032724,3090.5908721236838,645.5682109797191,823.2187536349801,1237.0695915137007,1573.2114402647132,2468.3654976151206,9.086609278001197E-5,3025.320714985445,2342.8847817175765,122.68855652552496,25_0
agriculture,-117.4211752,33.89975116,3137.536478419946,3090.719231663914,639.2183049212256,815.7212319504376,1227.4475170690168,1562.0172816078757,2464.4535459214862,9.108608345451529E-5,3023.0925023585687,2336.3363500486466,122.88484788063398,26_0
agriculture,-117.4302304,33.89558348,3137.3277170102097,3090.5587097849343,634.1715205528418,809.7827189488062,1219.5972195704853,1552.142890643269,2458.5329607921262,9.117357044463904E-5,3016.847525289997,2328.4303981267167,123.18278094841202,27_0
agriculture,-117.3505366,33.89280491,3135.098594972253,3088.2314917179524,645.057127927522,822.7968585609219,1234.6227126676563,1564.1067682372584,2444.448158015612,9.012004597132572E-5,2987.6392868840617,2319.956881856362,123.78204230233914,28_0
agriculture,-117.3861563,33.91047222,3137.721003261845,3090.7671227510978,653.2680599531959,832.2849514510372,1248.9588387762622,1587.885005503475,2476.2733530053133,9.070433038564102E-5,3033.045337436208,2353.804703708977,122.315813187777,29_0
develop,-117.3407189,33.89609354,3135.1801903435876,3088.272662901501,649.1591337538603,827.6308888597611,1240.9140630426016,1571.7207234340453,2448.076563005405,9.001604912215948E-5,2990.8238237783917,2325.2097072993183,123.61424007016525,30_0
develop,-117.3395602,33.8962004,3135.1536613277726,3088.2445169181747,649.334317317162,827.8396178479157,1241.1621904966867,1571.9445094991868,2447.9398135522565,9.00020553325336E-5,2990.4965469634585,2325.158216606628,123.6199695223369,31_0
develop,-117.3463623,33.89276282,3134.999411840099,3088.1262449576307,645.7221192084166,823.5890439874188,1235.5671459622165,1564.9673336687301,2443.9608724419522,9.006766210016138E-5,2986.4480604769587,2319.7942974168086,123.80123998704143,32_0
develop,-117.3384015,33.89078571,3134.588075920982,3087.7200294356335,645.3846384361464,823.2220053452764,1234.7784543760263,1562.9979461657051,2439.7979176671643,8.994844853272038E-5,2980.05104547472,2315.7193120689853,123.98130470237611,33_0
develop,-117.3376504,33.8931903,3134.807825144925,3087.919162323805,647.3933987278306,825.5756205839178,1237.9793613931283,1567.3215362855874,2443.2869667187333,8.995422176440671E-5,2984.3285816273496,2319.9048302807405,123.82580435449452,34_0
